SQ_CANDIDATO;CD_SG_UF;CD_TP_AGREMIACAO;CD_PARTIDO;CD_DS_NACIONALIDADE;CD_SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;CD_DS_GENERO;CD_DS_GRAU_INSTRUCAO;CD_DS_ESTADO_CIVIL;CD_DS_COR_RACA;CD_DS_OCUPACAO;CD_ST_REELEICAO;CAT_CANDIDATO_A_PRESIDENTE;CAT_CANDIDATO_A_GOVERNADOR;CD_DS_PORTE;NR_IDADE_PARTIDO_2018;CD_DS_ESPECTRO_POLITICO;CD_DS_POSICIONAMENTO_IDEOLOGICO;CD_CAT_LEGALIZACAO_CANNABIS;CD_CAT_ESTATUTO_DESARMAMENTO;CD_CAT_DESCRIMINALIZACO_ABORTO;CD_CAT_CASAMENTO_LGBT;CD_CAT_REDUCAO_MAIORIDADE_PENAL;CD_CAT_PRIVATIZACOES_EMPRESAS_PUBLICAS;CD_CAT_COTAS_UNIVERSIDADES;CD_CAT_EDUCACAO_SEXUAL_GENERO_EM_ESCOLAS;CD_CAT_MISTURA_ENTRE_POLITICA_RELIGAO;CD_CAT_MILITARISMO;CD_CAT_RURALISMO;CD_CAT_TRABALHISMO;ANO_ELEICAO;TOTAL_FILIADOS;TOTAL_VALOR_BENS;SCORE;TOTAL_VALOR_DESPESAS;PUB_MKT;QT_VOTOS_NOMINAIS_TOTAL
 30000625407;4;1;10;2;4;38;1;6;1;2;2;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;53;1952424.6;1249000;16519
 40000000083;3;1;10;2;3;48;2;6;1;5;57;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;277238.93;0;232304.09;35408.5;48281
 40000000084;3;1;10;2;3;34;1;3;1;4;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;0;0;51
 40000000085;3;1;10;2;3;46;1;7;2;2;1;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;1100;1100;32
 40000608904;3;1;10;2;6;36;2;6;1;4;132;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;3;799751.5;254141.4;107168
 40000608905;3;1;10;2;1;56;2;6;1;4;49;1;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;1660867.05;695846;117181
 50000000667;5;1;10;2;5;39;2;5;1;4;49;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;3108500;0;284020.08;176760.6;23017
 50000000668;5;1;10;2;5;32;2;3;4;2;188;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;31976;0;8617.98;8444.8;478
 50000000669;5;1;10;2;5;37;1;5;4;5;137;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;70000;0;1448;0;1042
 50000000670;5;1;10;2;5;42;1;3;5;5;188;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;270601.66;125;177134.59;159543.15;116912
 50000000672;5;1;10;2;19;44;2;6;1;5;49;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;192709.71;20;147108.25;107346;117470
 50000608623;5;1;10;2;5;43;1;6;1;2;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;303525.8;243874;3884
 50000608624;5;1;10;2;5;46;1;6;5;5;49;1;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;500;1431219.07;1328085.27;69153
 50000608625;5;1;10;2;5;46;2;6;1;2;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;333;1236555.24;601112.39;84455
 50000608626;5;1;10;2;19;48;2;6;1;5;49;1;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;450;1628174.61;878509.58;95204
 60000000776;6;1;10;2;6;45;1;7;1;2;157;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;15391.91;9993.51;979
 60000000802;6;1;10;2;6;50;2;7;4;4;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;503000;0;5219.91;4901.51;1478
 60000000806;6;1;10;2;26;37;2;3;1;2;49;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;226598.37;46;1298625.96;790750.85;117930
 60000605015;6;1;10;2;26;40;2;7;1;2;49;1;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;86;1118985.02;507327;101089
 70000000827;7;1;10;2;11;61;2;6;1;2;2;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;2720000;0;62141.34;40880;2294
 70000000828;7;1;10;2;19;50;2;6;1;5;49;1;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;2106.08;6;938122.38;778914.34;71381
 70000618958;7;1;10;2;26;43;2;6;1;2;49;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;2400;1403389.22;1341485;79775
 70000618963;7;1;10;2;7;48;2;6;2;2;33;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;43982.36;40418.4;1204
 70000618973;7;1;10;1;28;59;1;6;4;4;137;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;4950;4950;317
 80000000178;8;1;10;2;8;40;2;6;1;2;132;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;73039.64;0;83829.6;32467;8126
 80000000179;8;1;10;2;8;36;2;3;1;4;188;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;17;638430.67;506591.53;36174
 80000000181;8;1;10;2;8;51;2;6;1;2;132;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;28093.84;33;68695.62;21016;36032
 80000607518;8;1;10;2;8;42;2;6;1;2;49;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;100;1440012.1;609986;181813
 80000607519;8;1;10;2;8;54;2;3;1;2;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;26000;16000;2001
 80000607520;8;1;10;2;8;54;2;6;1;2;1;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;10;960438.2;250689.8;42829
 80000607521;8;1;10;2;8;54;1;7;4;2;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;33989.95;9155;132
 80000607522;8;1;10;2;26;63;1;6;2;2;143;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;354350.33;206058;1584
 80000620320;8;1;10;2;8;57;2;1;1;4;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;0;0;2141
 80000620321;8;1;10;2;8;60;1;6;1;2;15;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;303386.66;169870;1260
 80000620322;8;1;10;2;8;38;2;6;4;4;57;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;31100;5000;359
 80000620323;8;1;10;2;8;72;1;3;5;2;56;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;134939.2;50226;1026
 80000620324;8;1;10;2;5;54;2;1;1;4;124;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;13923.55;10310;1272
 90000000721;9;1;10;2;9;45;2;1;1;4;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;657945.04;0;801970.79;385943.53;58466
 90000610070;9;1;10;2;9;56;2;6;1;2;49;1;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;680;1532703.44;231514.3;106014
100000000571;10;1;10;2;10;42;2;6;1;2;2;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;735000;33;554552.9;391780;105243
100000000572;10;1;10;2;10;58;2;6;1;2;2;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;515000;0;500;500;670
100000000573;10;1;10;2;5;54;2;3;1;5;188;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;90000;3200;158312.01;118500;35292
100000601912;10;1;10;2;10;46;2;6;1;2;49;1;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;117;1053500;906618;101806
100000629841;10;1;10;2;10;55;2;6;1;4;1;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;34217.05;20500;1438
110000000024;13;1;10;2;6;50;2;3;1;2;124;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;111;140319.68;102410.75;13296
110000000025;13;1;10;2;12;58;1;6;2;4;2;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;7620000;0;37617.4;2500;556
110000611609;13;1;10;2;23;73;1;6;2;2;154;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;1313289.06;818111.2;33546
120000000673;12;1;10;2;12;48;2;6;1;2;154;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;380148.65;6;112301.12;77099;35054
120000602226;12;1;10;2;12;41;1;6;1;2;156;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;91432.8;79580;2264
120000602227;12;1;10;2;11;58;2;3;4;2;41;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;25000.02;600;649
120000602228;12;1;10;2;12;48;2;7;1;2;1;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;17;1557199.07;256928.3;34062
130000000835;11;1;10;2;11;42;2;3;1;4;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;96900;0;13351.15;11852.15;643
130000000837;11;1;10;2;11;50;2;6;1;4;102;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;191663;0;116945.42;59157.95;16451
130000000842;11;1;10;2;11;47;1;6;4;4;101;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;356347.05;0;427325.42;116578.9;30968
130000000854;11;1;10;2;11;56;2;6;5;2;45;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;6174000;0;24664.7;24595.65;5126
130000000857;11;1;10;2;5;43;2;6;1;4;49;1;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;669325;14;498121.62;342364.37;146792
130000000860;11;1;10;2;11;33;1;6;4;2;188;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;390066.8;0;91468.6;35875.65;11655
130000000864;11;1;10;2;11;46;2;3;2;4;134;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;9900;0;0;0;1127
130000000873;11;1;10;2;11;29;1;3;4;2;4;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;14351.9;14001.9;198
130000000879;11;1;10;2;19;49;2;7;1;4;102;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;0;0;1107
130000620800;11;1;10;2;11;45;1;6;1;2;2;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;1823521.76;782681.25;19747
130000620801;11;1;10;2;11;40;2;7;1;2;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;1458621.26;273750.9;31268
130000620802;11;1;10;2;26;52;2;6;1;2;49;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;33;1390415.68;1020228.88;162092
130000620803;11;1;10;2;11;52;2;6;1;2;49;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;33;1767941.55;982553.31;103090
130000620804;11;1;10;2;11;53;2;6;1;2;132;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;580102.41;222209.2;21057
130000620805;11;1;10;2;11;53;2;6;1;2;155;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;9950;4000;986
130000620806;11;1;10;2;11;50;2;6;4;5;155;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;109655.32;22834;1789
130000629714;11;1;10;2;11;43;1;3;4;2;124;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;20000;4000;408
140000000001;14;1;10;2;14;51;2;7;1;2;188;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;19966.74;543;122054.46;88748.06;104356
140000000003;14;1;10;2;14;51;1;3;4;4;124;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;1000;0;10
140000000004;14;1;10;2;14;48;1;3;4;2;124;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;1000;0;126
140000000005;14;1;10;2;14;51;1;3;1;5;124;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;1000;0;66
140000000007;14;1;10;2;9;36;2;3;1;5;124;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;1000;0;305
140000606364;14;1;10;2;23;36;2;3;1;4;124;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;701234.59;299250;158717
150000000482;15;1;10;2;15;45;2;6;1;2;132;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;328000;0;16489.31;16456.91;3453
150000000491;15;1;10;2;19;51;2;6;1;4;148;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;52798.63;0;171832.14;79729.81;30044
150000608807;15;1;10;2;15;29;2;6;1;2;101;1;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;8000;952263.15;826585.46;92468
150000608808;15;1;10;2;19;55;2;6;1;4;188;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;565426.19;182878.05;27374
150000608809;15;1;10;2;15;63;2;1;2;2;14;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;4278.6;4240.9;1603
160000000802;18;1;10;2;18;50;2;6;1;2;156;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;32000;0;7985.6;2725.2;549
160000000803;18;1;10;2;18;57;2;3;1;2;96;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;307226.95;1000;269953.21;69978.75;59152
160000000806;18;1;10;2;24;59;2;6;4;2;54;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;3000;0;4621.6;4481.6;2047
160000001381;18;1;10;2;18;49;1;1;1;2;41;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;0;0;33
160000619597;18;1;10;2;18;54;1;3;4;2;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;23000;0;258
160000619598;18;1;10;2;18;48;2;6;1;2;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;19859;13120;2023
160000619599;18;1;10;2;18;57;1;6;1;2;41;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;17000;0;225
160000619600;18;1;10;2;18;49;2;6;1;2;2;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;29419.34;6651.84;1410
160000619601;18;1;10;2;18;33;2;7;1;4;110;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;0;0;180
160000619602;18;1;10;2;18;57;1;6;2;2;162;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;122796.85;23000;928
160000619603;18;1;10;2;18;42;2;6;1;2;188;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;67839.78;12850;12646
160000619604;18;1;10;2;18;44;2;6;1;2;2;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;39775.6;6110;3046
160000619605;18;1;10;2;18;42;2;7;4;2;41;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;15197.7;297.5;1147
160000619606;18;1;10;2;18;65;1;1;3;2;15;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;4000;0;146
160000619607;18;1;10;2;23;64;2;6;1;2;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;292820;57293;50255
160000619608;18;1;10;2;26;57;2;6;1;2;44;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;655835.79;343750;52572
160000619609;18;1;10;2;18;34;1;7;4;2;124;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;22975.58;2009;580
160000619610;18;1;10;2;18;65;2;6;1;2;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;4500;0;1604
160000619611;18;1;10;2;18;50;1;6;2;2;94;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;30000;0;2307
160000619612;18;1;10;2;18;56;2;6;2;2;138;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;784354.3;333828.91;141730
160000619613;18;1;10;2;18;53;2;3;1;2;188;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;24943.42;7100.92;2424
160000619614;18;1;10;2;18;47;2;6;1;2;2;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;28655.9;16287.23;1901
160000619615;18;1;10;2;18;51;1;6;4;2;25;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;22657.81;0;535
160000619616;18;1;10;2;24;74;2;6;1;2;94;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;6342;0;134
160000619617;18;1;10;2;18;53;2;3;1;2;61;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;15000;8740;1563
160000619618;18;1;10;2;18;48;1;3;2;2;41;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;22897.42;0;122
170000000652;16;1;10;2;16;43;2;6;1;2;112;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;129968.4;101950;12291
170000000653;16;1;10;2;16;30;1;3;1;2;187;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;6000;0;218
170000000670;16;1;10;2;16;30;1;4;4;2;69;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;6000;0;15
170000000680;16;1;10;2;5;53;2;6;1;2;124;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;803238.88;625;654983.21;452348.24;56597
170000000681;16;1;10;2;16;30;1;7;1;4;124;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;6000;0;116
170000000693;16;1;10;2;16;46;1;3;1;5;164;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;6000;0;59
170000000694;16;1;10;2;16;34;1;6;4;2;94;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;4000;0;14
170000000704;16;1;10;2;16;35;1;7;4;5;88;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;2000;0;20
170000616984;16;1;10;2;19;64;2;3;1;5;124;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;653975.47;251938.75;65939
170000616985;16;1;10;2;16;48;2;6;4;4;189;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;7293.5;5860;1876
170000616989;16;1;10;2;16;36;2;6;1;2;49;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;6;1151325.45;288701.56;109185
180000000057;17;1;10;2;17;40;2;4;2;4;67;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;9600;6600;1483
180000000058;17;1;10;2;17;48;1;6;5;4;155;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;3000;0;33914.96;6200;1004
180000000059;17;1;10;2;17;57;2;6;1;2;88;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;172547.52;0;78069.06;30720;21553
180000608766;17;1;10;2;17;47;2;7;1;2;49;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;69;989599.95;296955;57391
180000608768;17;1;10;2;17;44;2;6;1;2;117;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;1630;1230;1352
180000608769;17;1;10;2;17;43;2;7;1;4;132;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;72.6;0;1080
180000608770;17;1;10;2;10;28;1;6;4;4;145;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;324269.58;75910;214
180000608771;17;1;10;2;17;44;1;3;4;2;25;0;0;0;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2018;0;0;0;443384.9;258084;319
190000001261;19;2;10;2;3;66;2;7;2;3;135;0;0;1;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;0;0;330
190000001268;19;2;10;2;19;56;1;3;1;2;124;0;0;1;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;4165;2625;143
190000001272;19;2;10;2;19;53;2;3;1;2;41;0;0;1;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;40000;0;3465;3465;2149
190000001276;19;2;10;2;19;30;2;3;4;2;188;0;0;1;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;38500;0;4035;4035;4349
190000001277;19;2;10;2;19;37;2;6;2;5;156;0;0;1;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;60781;32505;4057
190000001278;19;2;10;2;14;52;1;6;4;4;2;0;0;1;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;4365;3465;647
190000001279;19;2;10;2;19;40;2;7;4;5;124;0;0;1;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;973.06;779;214
190000001280;19;2;10;2;19;35;2;3;1;2;124;0;0;1;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;0;0;1629
190000001281;19;2;10;2;19;25;2;7;1;2;124;0;0;1;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;1440;840;523
190000001282;19;2;10;2;19;59;2;1;1;4;42;0;0;1;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;0;0;469
190000001283;19;2;10;2;19;51;2;3;1;2;124;0;0;1;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;0;0;19484.01;15200;5664
190000001284;19;2;10;2;19;31;2;6;1;2;1;0;0;1;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;239329.48;0;78414;29627.94;8962
190000001285;19;2;10;2;19;65;2;7;1;2;131;0;0;1;3;17;2;1;2;1;2;2;1;1;3;2;2;2;2;2;2014;0;115500;0;1790;1170;6454
